hypertension,"A condition in which the force of the blood against the artery walls is too high, commonly known as high blood pressure."
anemia,"A condition in which the blood doesn't have enough healthy red blood cells, leading to reduced oxygen flow to the body's organs."
diabetes,"A metabolic disease that causes high blood sugar. The hormone insulin moves sugar from the blood into your cells to be stored or used for energy."
myocardial infarction,"The medical term for a heart attack, which occurs when blood flow to a part of the heart is blocked for a long enough time that part of the heart muscle is damaged or dies."
arrhythmia,"An irregular heartbeat. It means your heart beats too quickly, too slowly, or with an irregular pattern."
ischemia,"A condition in which there is a lack of oxygen-rich blood to a part of the body, often due to a blockage in an artery."
thrombosis,"The formation of a blood clot inside a blood vessel, obstructing the flow of blood through the circulatory system."
embolism,"The lodging of an embolus, a blockage-causing piece of material, inside a blood vessel. The embolus may be a blood clot, a fat globule, a bubble of air or other gas, or foreign material."
atherosclerosis,"The buildup of fats, cholesterol, and other substances in and on the artery walls (plaque), which can restrict blood flow."
edema,"Swelling caused by excess fluid trapped in your body's tissues."
pneumonia,"An infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus."
bronchitis,"Inflammation of the lining of your bronchial tubes, which carry air to and from your lungs."
asthma,"A chronic disease that affects your airways. The airways can become inflamed, narrow and swell, and produce extra mucus, which makes it difficult to breathe."
emphysema,"A lung condition that causes shortness of breath. In people with emphysema, the air sacs in the lungs (alveoli) are damaged."
nephropathy,"Damage to or disease of a kidney."
hepatitis,"Inflammation of the liver. It can be caused by viral infections, alcohol, drugs, or autoimmune diseases."
cirrhosis,"Late-stage scarring (fibrosis) of the liver caused by various liver diseases and conditions, such as hepatitis and chronic alcoholism."
gastritis,"Inflammation of the protective lining of the stomach."
colitis,"Inflammation of the inner lining of the colon."
pancreatitis,"Inflammation of the pancreas. It happens when digestive enzymes start digesting the pancreas itself."
neuropathy,"Damage or dysfunction of one or more nerves that typically results in numbness, tingling, muscle weakness and pain in the affected area."
epilepsy,"A central nervous system (neurological) disorder in which brain activity becomes abnormal, causing seizures or periods of unusual behavior, sensations, and sometimes loss of awareness."
dementia,"A general term for loss of memory, language, problem-solving and other thinking abilities that are severe enough to interfere with daily life."
leukemia,"A cancer of blood-forming tissues, including bone marrow, hindering the body's ability to fight infection."
lymphoma,"Cancer of the lymphatic system, which is part of the body's germ-fighting network."
carcinoma,"A type of cancer that starts in cells that make up the skin or the tissue lining organs, such as the liver or kidneys."
sarcoma,"A type of cancer that begins in bone or in the soft tissues of the body, including cartilage, fat, muscle, blood vessels, fibrous tissue, or other connective or supportive tissue."
melanoma,"The most serious type of skin cancer, develops in the cells (melanocytes) that produce melanin â€” the pigment that gives your skin its color."
osteoporosis,"A bone disease that occurs when the body loses too much bone, makes too little bone, or both. As a result, bones become weak and may break from a fall or, in serious cases, from sneezing or minor bumps."
arthritis,"The swelling and tenderness of one or more of your joints. The main symptoms are joint pain and stiffness, which typically worsen with age."
autoimmune disease,"A condition in which your immune system mistakenly attacks your body."
sepsis,"A potentially life-threatening condition caused by the body's response to an infection. The body's immune system, which normally fights infection, releases chemicals into the bloodstream that cause widespread inflammation."
metabolism,"The chemical processes that occur within a living organism in order to maintain life."
endocrinology,"The branch of physiology and medicine concerned with endocrine glands and hormones."
hematology,"The study of the cause, prognosis, treatment, and prevention of diseases related to blood."
oncology,"A branch of medicine that deals with the prevention, diagnosis, and treatment of cancer."
cardiology,"The branch of medicine that deals with diseases and abnormalities of the heart."
dermatology,"The branch of medicine concerned with the diagnosis and treatment of skin disorders."
gastroenterology,"The branch of medicine focused on the digestive system and its disorders."
pulmonology,"A medical specialty that deals with diseases involving the respiratory tract."